area,branch,name,postalCode,street
Bautzen,,TaxLess Limited,02625,Fabrikstr. 50
Dresden,,TAXIPORT DRESDEN GmbH,01127,Harkortstr. 1-5
Zittau,,Taxigenossenschaft Zittau eG,02763,Frauenstr. 1
Hoyerswerda,,Taxibetrieb Martin UG (haftungsbeschränkt),02977,Teichweg 11
Zittau,,Taxi-Genossenschaft Zittau Funk-Taxi-Zentrale eG (Neuer Firmenname: Taxigenossenschaft Zittau eG),02763,Frauenstr. 1
Zittau,,Taxi- und Transportunternehmen Uwe Peger e. K.,02763,Sportstr. 15
Freital,,Taxi- und Mietwagengenossenschaft Freital e.G.,01705,Dresdner Str. 124
Pirna OT Graupa,,Taxi- und Mietwagenbetrieb Regina Urban e.K.,01796,Lohengrinstr. 19
Riesa,,Taxi- und Mietwagen-Genossenschaft Riesa eG,01587,Bahnhofstr. 49
Pirna,,Taxi- und Mietwagen - Genossenschaft eG Pirna,01796,Am Bahnhofsvorplatz
Bad Gottleuba-Berggießhübel OT Bad Gottleuba,,Taxi-,01816,An der Talsperre 5
Dresden,,Taxi Elbflorenz GmbH,01259,Hüfnerweg 25
Pirna,,Taxi- und Mietwagen - Genossenschaft eG (Neuer Firmenname: Taxi- und Mietwagen - Genossenschaft eG Pirna),01796,Am Bahnhofsvorplatz
Dresden,,Taxi Welcome Zwerschke GmbH,01069,Budapester Str. 36
Dresden,,TaxExpert Steuerberatungsgesellschaft mbH,01099,Königsbrücker Str. 54
Burkau OT Auschkowitz,,Taucherwald Agrar GmbH,01906,Ringstraße 24
Sohland,,Taubenheimer Sägewerk und Holzhandel GmbH (Neuer Firmenname: Holzgruppe Lehmann GmbH),02689,Neutaubenheimer Straße 1
Riesa OT Oelsitz,,Täubert Fachbetrieb für Fliesen und Ofenbau GmbH,01589,Riesaer Str. 34
Nürnberg,,Tauber Bau Eisenberg Straßen- und Tiefbaugesellschaft mbH,90425,Rollnerstr. 180
Sohland a,,Taubenheimer Faschingsclub e.V.,02689,Spreeweg 1
Dresden,,Tattoo GOODS Inh.: Mirko Hahn e.K.,01257,Am Galgenberg 44
Dresden,,tau2logic GmbH,01067,Wilsdruffer Str. 5
Niesky,,TATRAVAGÓNKA Germany GmbH,02906,Am Waggonbau 11
Niederau OT Gröbern,,TATRANS - GmbH (Neuer Firmenname: FORBERGER Speditionsgesellschaft mbH),01689,Radeburger Straße 34
Neuss,,Taschentrend GmbH,41460,Carl-Schurz-Str. 7
Dresden,,TAS Technische Anlagen Service GmbH,01237,Breitscheidstr. 78
Radeburg,,Tatjana Venus-Zocher Sandstrahlerei e.K.,01471,Bärwalder Str. 2
Dresden,,TASD Projektmanagement Unternehmergesellschaft (haftungsbeschränkt),01127,Konkordienstraße 46
Wiesbaden,,TASCHENBERG-Hotel- Betriebsgesellschaft mbH,65207,Oberbergstr. 23
Chemnitz,,TBG Transportbeton Dresden GmbH & Co. KG,09120,Friedrich-Oskar-Schimmel-Str. 19
Görlitz,,TAS Görlitz GmbH,02826,Jakob Str. 34
Willingen,,TCC Decoration GmbH,34508,Zur Hoppecke 9
Nossen,,TC Verwaltungsgesellschaft mbH,01683,Gewerbestr. 4
Dresden,,TC Trans GmbH,01067,Kramergasse 4
Großenhain,,TCG Trade & Consulting GmbH (Neuer Firmenname: HD Gesellschaft für Bildung und Unternehmensberatung mbH),01558,Dresdner Str. 22
Bad Hersfeld,,TCH Vermögensverwaltungs- GmbH,36251,Am Baumgarten 12
Dresden,,TBU Dresden,01109,Königsbrücker Landstr. 40
Dresden,,TBS Medien GmbH Videoproduktionen und Übersetzungsbüro,01109,Bauernweg 17
Görlitz,,TBSM GmbH,02826,Elisabethstr. 19
Pirna,,TBS GmbH,01796,Hohe Straße 33
Weißwasser,,TBS Fahrzeug-Service24 GmbH,02943,Heinrich-Heine-Str. 75
Dresden,,TBP Gastro Komplementär GmbH,01067,Taschenberg 3
Dresden,,TBP Gastro GmbH & Co. KG,01067,Taschenberg 3
Dresden,,TBP Betriebs GmbH,01067,Taschenberg 3
Laußnitz,,TBO Transportbeton Ottendorf-Okrilla GmbH & Co. KG,01936,Dresdner Straße 19
Laußnitz,,TBO Transportbeton Ottendorf-Okrilla GmbH,01936,Dresdner Str.19
Laußnitz,,TBO Transportbeton Ottendorf-Okrilla Beteiligungs GmbH,01936,Dresdner Str. 19
Niesky OT See,,TBO Tiefbau GmbH & Co. KG,02906,Ernst-Thälmann-Str. 20
Dresden,,TBNetz GmbH,01099,Meschwitzstr. 21
Niesky,,TBN TerminBau Niesky GmbH,02906,Königshainer Str. 7
Dresden,,TBM Tourismus-Beherbergungs-Management Dresden GmbH,01189,Karl-Stein-Str. 24
Riesa,,TBM Riesa GmbH,01591,Geschwister-Scholl-Str. 10
Hohenstein-Ernstthal,,TBL GmbH,09337,Antonstr. 2
Schwerin,,tbj Management- und Beteiligungsgesellschaft mbH,15755,Seestr. 51 A
Wilsdruff,,TBG Transportbeton Wilsdruff GmbH & Co. KG,01723,Hühndorfer Höhe
Oberottendorf,,TBG Transportbeton Oberottendorf GmbH & Co. KG,01844,Hauptstr. 1 a
Zittau,,TBG Transportbeton Oberlausitz Verwaltungs-GmbH (Neuer Firmenname: TBR Transportbeton Oberlausitz Geschäftsführungs GmbH),02763,Dittelsdorfer Str. 11/13
Dresden,,TBG Transportbeton Nossen GmbH & Co. KG (Neuer Firmenname: TBG Transportbeton Dresden GmbH & Co. KG),01067,Magdeburger Str. 58
Dresden,,TBG Transportbeton Nossen Verwaltungs-GmbH (Neuer Firmenname: TBG Transportbeton Dresden Verwaltungs-GmbH),01067,Magdeburger Straße 58
Zittau,,TBG Transportbeton Oberlausitz GmbH & Co. KG,02763,Dittelsdorfer Str. 11/13
Chemnitz,,TBG Transportbeton Dresden Verwaltungs-GmbH (Neuer Firmenname: TBG Transportbeton Mittelsachsen Verwaltungs-GmbH),09120,Friedrich-Oskar-Schimmel-Straße 19
Zittau,,TBR Transportbeton Oberlausitz Geschäftsführungs GmbH,02763,Dittelsdorfer Str. 11/13
München,,Tarrax GmbH,81737,Hoferstr. 1
Zittau,,Tarrach.Schreiber & Collegen Steuerberatungsgesellschaft mbH,02763,Bautzner Str. 2
Lünen,,TAROX Engineering & Production GmbH,44536,Stellenbachstr. 49-51
Oßling,,Tarmac Deutschland GmbH,01920,Werkstr. 1
Ebersbach-Neugersdorf,,Taris Bergland GmbH,02727,Pestalozzistr. 2
Dresden,,TARGET FINANCIAL CONSULTING LIMITED Zweigniederlassung Deutschland,01309,Anton-Graff-Str. 17
Dresden,,TAPODTS GmbH,01309,Bertolt-Brecht-Allee 24
Dresden,,Tapetenkontor.de Coswig GmbH,01326,Ulrichstraße 5
Dippoldiswalde,,J.-D. Winkler Fliesen- und Natursteinverlegung GmbH,01744,Gewerbering 9a
Dresden,,J. Siebmanns Fabrik für Elektrotechnik GmbH,01189,Tübinger Str. 4
Dresden,,J. Wolfferts GmbH Zweigniederlassung Dresden,01277,Glashütter Straße 101 a
Bautzen,,J. Zschiesche Grundstücksgesellschaft KG,02625,Kurt-Pchalek-Str. 33
Freital,,J. Steinbach Steuerberatungsgesellschaft mbH,01705,Burgwartstraße 6
Dresden,,J. Siebmanns,01189,Tübinger Str. 4
Dürrröhrsdorf-Dittersbach OT Dürrröhrsdorf,,Techmatik Deutschland GmbH,01833,Eschdorfer Str. 23
Dresden,,TECHCONSULT GmbH,01326,Oberwachwitzer Weg 16
Nossen,,tech-control GmbH - Automatisierungsanlagen,01683,Gewerbestr. 4
Dresden,,Techa Beteiligungs UG (haftungsbeschränkt),01277,Behrischstr. 26
Coswig,,TECFIN GmbH - Technologien für Industrieböden,01640,Moritzburger Str. 67
Dresden,,Tech & Life Solutions GmbH,01099,Wilhelminenstr. 10
Dresden,,TEC Food GmbH,01309,Vogesenweg 4
Görlitz,,Tec Evolution UG (haftungsbeschränkt),02826,Bahnhofstr. 53
Dresden,,Tebtron Electronic e.K.,01277,Enderstr. 94
Dresden,,Teamer und sein Trupp Outdoorevents,01099,Stauffenbergallee 39
Dresden,,TeamBau Ost GmbH,01279,Wehlener Str. 46
Bautzen,,TEAM2B GmbH,02625,Alt-Rattwitz 1 A
Ebersbach-Neugersdorf,,Team Umweltanalytik GmbH,02730,Georgswalder Str. 4
Freital,,Technologie- und Gründerzentrum Freital GmbH,01705,Dresdner Str. 172
Bautzen,,Technologie- und Gründerzentrum Bautzen GmbH,02625,Preuschwitzer Straße 20
Doberschau-Gaußig,,Technologie und Umwelt GmbH,02692,Industriestraße 6
Leutersdorf OT Spitzkunnersdorf,,Techno-Metall Michalk GmbH,02794,An der Zeile 15
Coswig,,Tapetenfabrik Coswig GmbH,01640,Industriestr. 24/26
Zittau,,Techno-Innovation Zittau GmbH,02763,Zur alten Färberei 2
Ebersbach-Neugersdorf,,Techno-Engineering D GmbH,02727,Nordstr. 1a
Müglitztal OT Maxen,,Techno-Commerz GmbH Konstruktionen-Vertrieb von Maschinen-Management,01809,Maxener Str. 22 c
Zittau,,Techno-Coat Oberflächentechnik GmbH,02763,Hirschfelder Ring 1
Radebeul,,Technisches Büro B. Freyer GmbH,01445,Sonnenweg 16
Wilsdruff,,Teichmann Bau GmbH,01723,Meißner Str. 23
Dresden,,Teichfreunde Eschdorf e.V.,01328,c/o Gunter Mauer Rosinendörfchen 6
Arnsdorf,,Teich & Voigt Verwaltungs - GmbH,01477,Am Gewerbegebiet 13
Dresden,,Tegethoff und Moser,01097,Platanenstr. 4
Arnsdorf,,Teich & Voigt OHG,01477,Am Gewerbegebiet 13
Weißenburg i,,"TEGAM GmbH ""Technische Glasaufbereitungsanlage Mehltheuer"" GmbH",91781,Bahnhofstr. 8
Unterschleißheim,,Tegal GmbH,85716,Lise-Meitner-Str. 3
Weißenberg,,TEGA - Planungsgesellschaft mbH,02627,Straße der Einheit 6
Dresden,,Teewald OHG,01099,Martin-Luther-Str. 37
Dresden,,Teehaus Gesellschaft mit beschränkter Haftung,01069,Zwickauer Str. 27
Niederau OT Ockrilla,,TecWare Gesellschaft für Softwareentwicklung mbH,01689,Gewerbegebiet 5
Dresden,,tecubit e.K.,01217,Am Beutlerpark 8
Dresden,,TECTURA GmbH,01099,Am Brauhaus 12
Dresden,,Tectum Generalplanungsgesellschaft mbH,01277,Berggartenstr. 23
Saarburg,,TECTRO SMT GmbH,54439,Thrasoltstr. 40
Stolpen,,Tecto Metallwaren Produktions-GmbH (Neuer Firmenname: Bredenkamp GmbH Werbung und Beratung. Neuer Sitz: Stolpen),01833,Rudolf Peschke Str. 40
Stolpen OT Rennersdorf,,Tecto Dachbaustoffe GmbH,01833,Stolpener Landstr. 2 a
Dresden,,TeCoEn UG (haftungsbeschränkt),01187,F.-C.-Weiskopf-Platz 9
Dresden,,TecLic Technical Licenses GmbH,01324,Sonnenleite 15
Döbeln,,Tecklenborg Sachsen GmbH,04720,Dresdner Str. 30
Döbeln,,Tecklenborg GmbH,04720,Dresdner Str. 30
Köln,,TechTeam Global GmbH,50678,Im Zollhafen 24
Dresden,,Techsolar GmbH (Neuer Firmenname: nanooptics GmbH),01157,Flensburger Str. 118
Großenhain,,Techstone Produktions GmbH,01558,Major-von-Minckwitz-Allee 16
Bochum,,techOFFICE GmbH,44789,Königsallee 45
Dresden,,TechSyn oHG - Gesellschaft für Wissens- und Technologiesynergien,01259,Augustinstr. 1
Stockstadt,,TECHNOSYSTEM Metall-,63811,Hauptstraße 23
Radebeul,,TechnoSteel GmbH,01445,Nach der Schiffsmühle 15
Dresden,,"Technoplan Stahlverlege GmbH (Neuer Firmenname: Technoplan Stahlverlege und Trockenbau, Decken- und Wandsysteme GmbH. Geschäftsanschrift: Lockwitztalstr. 20, 01259 Dresden)",01259,Lockwitztalstr. 20
Dresden,,TechnologieZentrumDresden GmbH,01217,Gostritzer Str. 61-63
Lommatzsch OT Barmenitz,,Technomarkt GmbH Harz & Beger,01623,Nr. 3
Coswig,,Technischer Fachgroßhandel Haustechnik Geller & Kulik,01640,Straße des Friedens 17
Dresden,,Technologiegründerfonds Sachsen Basic GmbH & Co. KG,01309,Anton-Graff-Str. 20
Dresden,,Technische Werke Dresden GmbH,01069,Friedrich-.List-Platz 2
Ostritz,,Technische Werke Ostritz GmbH,02899,Görlitzer Str. 33
Coswig,,Technische Werke Coswig GmbH,01640,Karrasstr. 3
Hoyerswerda,,Technische Gebäudeausrüstung Hoyerswerda GmbH,02977,Geschwister-Scholl-Str. 29
Riesa,,Technische Gase Roland Altmann GmbH,01591,Industriestr. 11
Riesa,,Technische Gase,01591,Industriestr. 11
Neustadt i,,Technische Dienste Neustadt GmbH,01844,Obergraben 1
Röhrsdorf,,Technische Fürsorge soz.-techn. Dienstleistungen David Milde,01809,OT Tronitz Nr. 1 A
Altenberg,,Technische Dienste Altenberg Gesellschaft mit beschränkter Haftung,01773,Max-Niklas-Str. 2
Heidenau,,Technische Dienste Heidenau GmbH,01809,Dresdner Str. 15
Freital,,Technische Ausbildung Freital GmbH,01705,Südstr. 16 b
Freital,,Technisch-gewerbliche Ausbildungsstätte Freital GmbH,01705,Südstr. 16 b
Wilsdruff STT Kesselsdorf,,Technikverein Sender Wilsdruff e.V.,01723,Zur Erholung 7
Dresden,,TechniSat Dresden GmbH,01139,Washingtonstr. 16/16a
Schwepnitz OT Bulleritz,,Technikmuseum Bulleritz e.V.,01936,Ringstr. 21
Görlitz,,TELforYOU GmbH + Co. KG,02826,Bautzener Str. 54
Görlitz,,TELforYOU Verwaltungsgesellschaft mbH,02826,Bautzener Str. 54
Dresden,,TechniSat Digital GmbH (Neuer Firmenname: Preh Car Connect GmbH),01156,Gewerbepark Merbitz Nr. 5
Dresden,,Technikhouse Dresden UG (haftungsbeschränkt),01277,Schandauer Str. 69
Radeberg OT Rossendorf,,Teletronic Rossendorf GmbH,01454,Bautzner Landstraße 45
Dresden,,TELETEK GmbH Kabelkommunikation Montage und Vertrieb,01109,Zur Wetterwarte 27
Görlitz,,Telesoft Systeme Görlitz UG (haftungsbeschränkt),02826,Landeskronstr. 50
Dresden,,Telemedia Dresden GmbH,01259,Bosewitzer Str. 20
Weißwasser,,teleprofi Wolfrum Vertriebs- und Service GmbH,02943,Bautzener Str. 48 b
Dresden,,Telekop-Lorenz GmbH,01277,Enderstr. 94
Klingenberg OT Höckendorf,,Telegärtner Gerätebau Gesellschaft mit beschränkter Haftung,01774,Frauenstr. 1
Riesa,,Telekabel Riesa GmbH,01587,Klötzerstr. 24
Dresden,,TELEFUNKEN SOLAR Service GmbH,01099,Bautzner Straße 95
Veitshöchheim,,TELEFUNKEN Solar Solution GmbH,97209,Tiergartenstr. 4 c
Dresden,,TELEFUNKEN Solar Sales GmbH,01099,Bautzener Str. 95
Dresden,,TELEFUNKEN Solar Engineering GmbH,01067,Könneritzstr. 7
Dresden,,Telefonzelle Dresden Gesellschaft für Mobilfunk und Zubehör mbH,01277,Schandauer Str. 75
Dreieich,,TELEFUNKEN Solar AG,63303,Buchschlager Allee 18-20
Dresden,,Telefonbuch-Verlag Sachsen GmbH & Co. KG,01237,Seidnitzer Weg 5
Wuppertal,,Telefonbau Klasen KG,42275,Rütliweg 12
Görlitz,,telecom-Görlitz Gesellschaft für Elektro-,02828,Am Flugplatz 16a
Dresden,,Teleconnect Gesellschaft mit beschränkter Haftung,01157,Am Lehmberg 54
Dresden,,tele-infra.GmbH Niederlassung Dresden,01219,Caspar-David-Friedrich-Straße 13 a
Dresden,,Tele-Media-Service GmbH,01219,Elsa-Brandström-Str. 3
Dresden,,Teleconnect Beteiligungsgesellschaft mit beschränkter Haftung,01157,Am Lehmberg 54
Dresden,,Telecom Partner in Dresden GmbH,01139,Fechnerstr. 29
Kamenz,,Tele & Marketing Sachsen Ost OHG,01917,An der Windmühle 6
Dresden,,TelDaCom GmbH,01109,Zur Wetterwarte 27
Vierkirchen,,TELA-Landmaschinen,02894,Tetta 6
Dohna OT Röhrsdorf,,Tel Me Twins UG (haftungsbeschränkt),01809,Hauptstr. 3
Nürnberg,,TEK Fundus GmbH & Co. KG,90402,Färberstr. 20
Kreischa,,Teilewerk Handels GmbH,01731,Hauptstr. 22
Riesa,,Teigwaren Riesa Verwaltungs GmbH (Neuer Firmenname: Teigwaren Riesa GmbH),01591,Merzdorfer Straße 21-25
Riesa,,Teigwaren Riesa GmbH,01591,Merzdorfer Straße 21-25
Radeburg OT Bärnsdorf,,Teichwirtschaft Moritzburg GmbH,01471,Bärnsdorfer Hauptstr. 1c
Lommatzsch,,Technik-Service Zocher GmbH,01623,Untere Dorfstr. 1
Boxberg OT Uhyst,,Teichwirtschaft Lohsa GmbH,02943,Schloßstraße 17
Leutersdorf OT Spitzkunnersdorf,,Technik-Service GmbH Oberland,02794,Zur alten Schule 5 a
Dresden,,TECHNIK - HAUS UL,01097,Königstr. 9
Göda,,Technical Service Kuehn GmbH,02633,Buscheritz 1
Dresden,,Technik Ambiente GmbH,01097,Hauptstr. 29
Dresden,,Team Onlinebuero GmbH,01069,Lingnerallee 3
Dresden,,TEAM COMBASE e. V.,01159,Deubener Str. 22
,,Team Bismarckturm Neugersdorf e.V.,,
Dresden,,team ferox GmbH,01189,Am Eiswurmlager 4
Berlin,,Team Baugesellschaft mbH,12053,Rollbergstr. 26
Dresden,,Team Alpin GmbH,01219,Gombsener Str. 11
Weinböhla,,TEo-Shop Vertriebsgesellschaft mbH,01689,Hauptstr. 25
Leonberg,,TEO GmbH & Co. KG,71229,Gleiwitzer Str. 47
Friesenheim,,TEO Verwaltungsgesellschaft mbH,77948,Hauptstr. 7
Dresden,,tentum gmbh,01099,Königsbrücker Str. 49
Mittelherwigsdorf OT Eckartsberg,,TENT EVENT Ltd. Niederlassung Deutschland,02763,Löbauer Str. 11
Dresden,,TENNO Systemhaus GmbH,01069,Werdauer Str. 1-3
Dresden,,tennistown GmbH,01277,Enderstr. 88
Nossen,,Tennis Club Nossen e.V.,01683,Schützenstr. 32
Dresden,,"Tenna Immobilien GmbH (Neuer Firmenname: TENNA Mess- und Informationstechnik GmbH. Geschäftsanschrift: Fetscherstr. 24, 01307 Dresden)",01307,Fetscherstr. 24
Kurort Oberwiesenthal,,Tenna Immobilien GmbH,09484,Werner-Seelenbinder-Str. 46
Bautzen,,TENACON GmbH,02625,Max-Militzer-Weg 3
Dresden,,TEN BRINK DRESDEN Maschinen- und Apparatebau GmbH,01139,Am Trachauer Bahnhof 6b
Taucha,,TEMS Verwaltungs UG (haftungsbeschränkt),04425,Am Obstgut 9
Görlitz,,TEMSTA GmbH,02826,Schillerstr. 18
Bannewitz OT Possendorf,,TEMPUS Immobilien GmbH,01728,Ferdinand-von-Schill-Str. 24
Dresden,,Temporal_Mitteldeutschland GmbH,01069,Lingnerallee 2
Dippoldiswalde OT Schmiedeberg,,Tempo Global GmbH,01762,Altenberger Str. 44
Dresden,,TEMPLE GYM DRESDEN e.K.,01257,Saydaer Str. 3
Dresden,,Tempel Holding GmbH,01326,Weißer-Hirsch-Str. 10
Dresden,,Tempflex Laden- & Innenausbau GmbH,01097,Leipziger Str. 13 b
Mainz,,temp personal gmbh,55129,Rheinhessenstraße 9a
Bischofswerda,,Temedia GmbH,01877,Belmsdorfer Str. 31
Weißwasser,,TELUX-Spezialglas GmbH,02943,Straße der Einheit 2-24
Weißwasser,,Telux Immobilien GmbH,02943,Straße der Einheit 2-24
Weißwasser,,Telux Glasproducts & Components GmbH,02943,Straße der Einheit 2-24
Dresden,,teltis GmbH,01099,Jägerstr. 6
Dresden,,TelSys GmbH,01069,Werdauer Str. 1 - 3
Berlin,,Telstar Media Beteiligungsgesellschaft mbH,10629,Wilmersdorfer Straße 82/83
Dresden,,TELOS Treuhand GmbH Wirtschaftsprüfungsgesellschaft,01099,Königsbrücker Str.61
Dresden,,TELLUX-Film GmbH Dresden,01099,Tannenstr. 2
Bautzen,,TELLUS INVEST - HOLDING GmbH,02625,Burgplatz 2 - 2a
Bautzen,,TELLUS Immobiliengesellschaft mbH,02625,Mättigstr. 43
Dresden,,Telix Pharmaceuticals Holdings Germany GmbH,01067,Schweriner Str. 50a
Dresden,,Telix Pharmaceuticals Germany GmbH,01067,Schweriner Str. 50A
Dresden,,teacher&student UG (haftungsbeschränkt),01157,Mobschatzer Str. 23
Dresden,,TEAB Sachsen GmbH,01127,Großenhainer Str. 70 A
Görlitz,,TDK TOMAS CHEM. e.K.,02826,Berliner Str. 38
,,TDF Team Dresden e.V.,,
Dohna,,TDL Technische Dienstsleistungs KG Elektroinstallation und Kommunikationsanlagen Alternativ - Energieanwendung,01809,Müglitztalstr. 42
Moritzburg OT Boxdorf,,TDEC Germany GmbH,01468,Ringstraße 26
Langenleuba-Niederhain,,TDA - Holding GmbH,04618,Lohma 17
Dresden,,TD Dresden GmbH,01099,Charlotte-Bühler-Str. 12
Bernsdorf OT Straßgräbchen,,TD Deutsche Klimakompressor GmbH,02994,Weißiger Str. 6
Dresden,,TCS BPS Verwaltungs-GmbH,01099,Königsbrücker Str. 96
Dresden,,TCS BPS MIMIKRI SYSTEMS KG,01099,Tannenstr. 4
Dresden,,TCS BPS MIMIKRI SYSTEMS GmbH & Co. KG,01099,Königsbrücker Str. 96
Dresden,,Terra Wohn- und Gewerbepark GmbH,01099,Tieckstr. 13
Dresden,,Terra Verwaltungs GmbH,01279,Wehlener Straße 46
Ottendorf-Okrilla,,TES Automotive GmbH,01458,Alter Dresdner Weg 14a
Großenhain,,Tertius Immorenta GmbH,01558,Elsterwerdaer Str. 9a
Dresden,,Tenec consulting services GmbH,01139,Marie-Curie-Str. 2a
Neukirch,,Terrum GmbH & Co. KG,01904,Naundorfer Str. 13
,,Terrassenhaus e.V.,,
Görlitz,,TerraRent Immobilien Aktiengesellschaft,02826,Augustastr. 4
Dresden,,TEMS UG (haftungsbeschränkt) & Co.KG,01097,An der Dreikönigskirche 10
Göttingen,,terraplan Gesellschaft für Bausanierung mbH,37073,Kurze-Geismar-Str. 39
Dresden,,Terraingesellschaft Dresden GmbH,01099,Rothenburger Str. 15
Görlitz,,TerraRent AG,02826,Augustastr. 4
München,,Terrafly Veranstaltungs GmbH,81241,Bodenseestr. 4
Dresden,,Terraingesellschaft Dresden UG & CO KG,01099,Rothenburger Str. 15
Freital,,TGA Consult GmbH Planungsbüro für integriertes Bauen,01705,Dresdner Str. 192
Dresden,,TFS Vertrieb GmbH,01157,Omsewitzer Höhe 6
Radeberg,,TFI - Systeme Radeberg GmbH Ingenieurbüro für Nachrichtentechnik,01454,Heidestraße 70
Hoyerswerda,,TG - Autohandelsgesellschaft mbH,02977,Ackerstraße 1
Hohenstein-Ernstthal,,TFD Teilefertigung Dresden GmbH,09337,Zechenstraße 54a
Dresden,,Textilveredelung Dresden GmbH,01257,Niedersedlitzer Str. 75
Radebeul,,Textor GmbH,01445,Altkötzschenbroda 59a
Dresden OT Weixdorf,,texton e.V.,01108,Alte Dresdner Str. 99
Dippoldiswalde,,Textilpflege Reichel GmbH,01744,Reichstädter Str. 9
Weißwasser,,Textilpflegesalon - Tschammer GmbH,02943,Lutherstr. 27
Dresden,,Textilpflege Dresden GmbH,01159,Poststr. 2
Hoyerswerda,,Textilhandel Jannack e.K.,02977,Virchowstraße 60
Dresden,,Textilhandel Schamper GmbH,01069,Wiener Platz 6
Olbersdorf,,Textile Baustoffe GmbH Entwicklung,02785,An der Stadtgrenze 6a
Dresden,,TextAnywhere GmbH,01099,Radeberger Str. 1
Dresden,,Textilgut Rothmann GmbH,01259,Försterlingstr. 22 h
Erkrath,,Text und Technik Gesellschaft für technische Dokumentation und Werbung mbH,40699,Parkstr. 10
Beiersdorf,,texsib GmbH,02736,Löbauer Str. 41
Dresden,,TEWETAX Steuerberatungsgesellschaft mbH,01159,Behringstr. 45
Dresden,,Teupitzer Höhe Grundstücks GmbH,01259,Haus 2
Ulm,,TEVA GmbH,89079,Graf-Arco-Str. 3
Berlin,,Teupitz Vermögensverwaltungs GmbH,10625,Schlüterstr. 4
Dresden,,Testoni Mode GmbH,01307,Straßburger Platz 1
Görlitz,,TESES Immobilien GmbH,02826,Leipziger Str. 1
Dresden,,Teschler & Huß Rechtsanwaltsgesellschaft mbH,01097,Theresienstr. 8
Bautzen,,TerraEast Immobilien GmbH,02625,Kupferhammer 6
Berlin,,Terra Stahl- und Metallbau GmbH Bautzen,14109,Königinstr. 4
Dresden,,TerraE Engineering GmbH,01324,Zeppelinstr. 1
Kirchberg,,Terra Projekte Verwaltungs- und Immobilienservice Gesellschaft mbH,08107,Dr.-Ziesche-Str. 11
Dresden,,Terra Projekt & Bau GmbH,01067,Töpferstr. 6
Dresden,,TERRA Immobilienvermittlungs- und Verwaltungs GmbH,01099,Radeberger Str. 14
Dresden,,Terra Mater Vermögensverwaltungs- und Beteiligungs-GmbH,01097,Königstr. 9
,,Terra Humana Medingen e.V.,,
Schwaig,,Terra America Grundbesitz GmbH & Co. KG in Dresden,90571,Parkstr. 70
Dresden,,Terminal 1 GmbH & Co. KG,01067,Webergasse 1/Haus 2B
Radeberg,,Terepco UG (haftungsbeschränkt) (Neuer Firmenname: Terepco GmbH),01454,Agathe-Zeis-Str. 14
Görlitz,,Thallo GmbH,02826,Gobbinstr. 1
Dresden,,Terminagenten Vertriebs & Verwaltungs UG (haftungsbeschränkt),01127,Alexander-Puschkin-Platz 1
Potsdam,,Thanares Thiede Analytik und Research GmbH,14473,Hermannswerder Haus 14
Dresden,,THE II Konzept- und Beteiligungs-GmbH,01279,Brünnerstr. 11
Lichtenberg,,The Kehr Company UG (haftungsbeschränkt),01896,Hauptstr. 29
,,the guts company e.V.,,
Dresden,,the food company GmbH,01097,Theresienstr. 20
Bischofswerda,,The green STORE UG (haftungsbeschränkt),01877,Am Stadtgut 5
Dresden,,THe entertainment GmbH,01099,Görlitzer Str. 11
Klingenthal,,the forest dream hotels GmbH & Co. KG,08248,Auerbacher Str. 86
Dresden,,The Caring for Animals Organisation (CAO) e.V.,01099,Zittauer Str. 12
Dresden,,The Car Guys GmbH,01067,Altmarkt 10 B
Dresden,,thb Werkstatt: Jugend GmbH,01309,Hüblerstr. 49
Bad Gottleuba- Berggießhübel,,THB - Consulting GmbH,01819,Talstr. 21
Berlin,,Thaurion UG (haftungsbeschränkt),12527,Rabindranath-Tagore-Str. 13
Mannheim,,THATec Innovation GmbH,68165,Augustaanlage 23
Bremen,,thermea. Holding GmbH,28209,Hartwigstr. 10
Thale,,Therme Thale Verwaltungsgesellschaft mbH,06502,Parkstr. 4
Ottendorf-Okrilla,,thermea. Energiesysteme GmbH,01458,Jakobsdorfer Str. 4/6
Löbau,,Therapiezentrum Löbau GmbH,02708,Breitscheidstr. 2
Dresden,,Therapiezentrum Alexander Flemming UG (haftungsbeschränkt),01159,Kesselsdorfer Str. 81
Radeberg,,Therapieverbund Radeberg GmbH,01454,Dr.-Albert-Dietze-Str. 11
Radebeul,,Therapiezentrum Radebeul Ost GmbH,01445,Nizzastr. 46 a
Dresden,,Therapieland UG (haftungsbeschränkt),01097,Theresienstr. 20
,,Therapiehof Stella e.V.,,
Dresden,,Therapeia GmbH & Co. KG,01326,Veilchenweg 38
Bad Muskau,,Therapeutisches Zentrum Moorbad Bad Muskau GmbH,02953,Schloßstr. 8
Dresden,,Therapeia Verwaltungs- GmbH,01326,Veilchenweg 38
Kamenz,,Therapie- und Pflegezentrum Westlausitz GmbH,01917,Bauhofgässchen 2
Hoyerswerda,,THERAFIT Hoyerswerda GmbH,02977,Kastanienweg 20
Pirna,,Thera-Select Produktions GmbH & Co. KG,01796,Kunstseidenstraße 4
Dresden,,Think Pink UG (haftungsbeschränkt),01067,Töpferstr. 6
Schwepnitz OT Grüngräbchen,,Thijssen Tierzucht GmbH,01936,Grossgrabener Str. 3
Thiendorf,,Thiendorfer Fräsdienst Verwaltungs GmbH,01561,Am Fiebig 11
